text,label
"This album was a complete disappointment, I regret buying it.",negative
"Awful headphones, fell short of expectations in every way.",negative
"This album is amazing, I've never been happier.",positive
"Top notch game, customer support was also excellent.",positive
"Very unsatisfied with the service, everything felt cheap.",negative
"Terrible product, nothing worked as advertised.",negative
"Absolutely loved this album, would recommend to everyone.",positive
"Impressive headphones, the attention to detail is remarkable.",positive
"Awful app, fell short of expectations in every way.",negative
"Poor value for money, this laptop is not worth it.",negative
"Awful product, fell short of expectations in every way.",negative
"Impressive movie, the attention to detail is remarkable.",positive
"This gadget was a complete disappointment, I regret buying it.",negative
"The laptop was a pleasant surprise, better than I hoped.",positive
"Absolutely loved this book, would recommend to everyone.",positive
"The restaurant was a pleasant surprise, better than I hoped.",positive
"This gadget is a masterpiece, truly outstanding quality.",positive
"The laptop was a pleasant surprise, better than I hoped.",positive
"I am delighted with this phone, it made my day.",positive
"Excellent course! Smooth, reliable, and beautifully designed.",positive
"Top notch course, customer support was also excellent.",positive
"This hotel was a complete disappointment, I regret buying it.",negative
"Disappointing gadget, customer support was unhelpful too.",negative
"This course is a masterpiece, truly outstanding quality.",positive
"This show is a mess, badly designed and unreliable.",negative
Annoying phone! Constant issues and unreliable performance.,negative
"Terrible gadget, nothing worked as advertised.",negative
"Excellent phone! Smooth, reliable, and beautifully designed.",positive
"The album failed to deliver on its promises, frustrating.",negative
"The headphones was an unpleasant surprise, worse than I feared.",negative
One of the worst phones I've ever experienced.,negative
"Excellent album! Smooth, reliable, and beautifully designed.",positive
"Highly satisfied with the movie, everything felt premium.",positive
"Disappointing movie, customer support was unhelpful too.",negative
"This gadget is a masterpiece, truly outstanding quality.",positive
"The album failed to deliver on its promises, frustrating.",negative
The book was awful from start to finish.,negative
"The album was a pleasant surprise, better than I hoped.",positive
"Horrible experience with this hotel, would not recommend.",negative
"I really disliked this gadget, it was boring and poorly made.",negative
"This album exceeded all my expectations, I'm thoroughly impressed.",positive
"I'm so unhappy with this app, total waste of money.",negative
"Poor value for money, this restaurant is not worth it.",negative
"Absolutely loved this restaurant, would recommend to everyone.",positive
"The course was an unpleasant surprise, worse than I feared.",negative
"This phone is awful, I've never been so let down.",negative
"This phone is a mess, badly designed and unreliable.",negative
"Horrible experience with this book, would not recommend.",negative
"I really disliked this hotel, it was boring and poorly made.",negative
"Horrible experience with this service, would not recommend.",negative
"Mediocre game at best, definitely overpriced for what it offers.",negative
Annoying gadget! Constant issues and unreliable performance.,negative
"Disappointing course, customer support was unhelpful too.",negative
The game was fantastic from start to finish.,positive
"This show exceeded all my expectations, I'm thoroughly impressed.",positive
One of the best headphoness I've experienced in a long time.,positive
"Poor quality phone, broke down almost immediately.",negative
"I really enjoyed this restaurant, it was engaging and well made.",positive
The movie was fantastic from start to finish.,positive
"This phone is awful, I've never been so let down.",negative
"Brilliant album, exceeded my expectations in every way.",positive
"This gadget is awful, I've never been so let down.",negative
"Superb restaurant, I can't stop recommending it to friends.",positive
Annoying show! Constant issues and unreliable performance.,negative
Great phone! Everything worked perfectly and exceeded expectations.,positive
"Brilliant app, exceeded my expectations in every way.",positive
One of the worst headphoness I've ever experienced.,negative
"This service is a mess, badly designed and unreliable.",negative
"Wonderful experience with this laptop, five stars all the way.",positive
"Bad show, slow, buggy, and poorly built.",negative
"I'm so happy with this show, it's worth every penny.",positive
"I am frustrated with this course, it ruined my day.",negative
"Fantastic value for money, this headphones is a gem.",positive
"The service failed to deliver on its promises, frustrating.",negative
"I'm so happy with this hotel, it's worth every penny.",positive
One of the best hotels I've experienced in a long time.,positive
"Brilliant show, exceeded my expectations in every way.",positive
"Fantastic value for money, this album is a gem.",positive
"Very unsatisfied with the headphones, everything felt cheap.",negative
"Excellent service! Smooth, reliable, and beautifully designed.",positive
"I really enjoyed this hotel, it was engaging and well made.",positive
"This game is a mess, badly designed and unreliable.",negative
"I'm so happy with this product, it's worth every penny.",positive
"Wonderful experience with this gadget, five stars all the way.",positive
"Fantastic value for money, this album is a gem.",positive
"Horrible experience with this laptop, would not recommend.",negative
"Impressive app, the attention to detail is remarkable.",positive
Annoying hotel! Constant issues and unreliable performance.,negative
"I'm so unhappy with this headphones, total waste of money.",negative
"I'm so unhappy with this headphones, total waste of money.",negative
Great app! Everything worked perfectly and exceeded expectations.,positive
"Very unsatisfied with the product, everything felt cheap.",negative
"Poor value for money, this hotel is not worth it.",negative
"I really disliked this restaurant, it was boring and poorly made.",negative
"I am delighted with this album, it made my day.",positive
"Impressive product, the attention to detail is remarkable.",positive
"Terrible gadget, nothing worked as advertised.",negative
"Mediocre movie at best, definitely overpriced for what it offers.",negative
"Highly satisfied with the phone, everything felt premium.",positive
"Absolutely loved this show, would recommend to everyone.",positive
"Poor value for money, this album is not worth it.",negative
"Mediocre app at best, definitely overpriced for what it offers.",negative
One of the best games I've experienced in a long time.,positive
"This headphones is a mess, badly designed and unreliable.",negative
The product was fantastic from start to finish.,positive
"This movie exceeded all my expectations, I'm thoroughly impressed.",positive
"The laptop delivered on every promise, brilliant execution.",positive
"Poor value for money, this book is not worth it.",negative
"The phone delivered on every promise, brilliant execution.",positive
The laptop was awful from start to finish.,negative
"Poor quality restaurant, broke down almost immediately.",negative
"This book exceeded all my expectations, I'm thoroughly impressed.",positive
"Highly satisfied with the course, everything felt premium.",positive
One of the best services I've experienced in a long time.,positive
"The game delivered on every promise, brilliant execution.",positive
"Impressive hotel, the attention to detail is remarkable.",positive
Great hotel! Everything worked perfectly and exceeded expectations.,positive
"Brilliant service, exceeded my expectations in every way.",positive
One of the worst laptops I've ever experienced.,negative
"I really enjoyed this book, it was engaging and well made.",positive
"Excellent laptop! Smooth, reliable, and beautifully designed.",positive
"Horrible experience with this restaurant, would not recommend.",negative
"Disappointing product, customer support was unhelpful too.",negative
"Fantastic value for money, this show is a gem.",positive
"This movie is amazing, I've never been happier.",positive
"Mediocre service at best, definitely overpriced for what it offers.",negative
"Wonderful experience with this movie, five stars all the way.",positive
"The restaurant failed to deliver on its promises, frustrating.",negative
"I am frustrated with this hotel, it ruined my day.",negative
"Bad movie, slow, buggy, and poorly built.",negative
The game was awful from start to finish.,negative
"The laptop delivered on every promise, brilliant execution.",positive
"I really enjoyed this album, it was engaging and well made.",positive
"Poor quality hotel, broke down almost immediately.",negative
One of the worst movies I've ever experienced.,negative
"I am delighted with this movie, it made my day.",positive
"Superb show, I can't stop recommending it to friends.",positive
The show was awful from start to finish.,negative
"This book was a complete disappointment, I regret buying it.",negative
"Disappointing app, customer support was unhelpful too.",negative
"The course was an unpleasant surprise, worse than I feared.",negative
Great book! Everything worked perfectly and exceeded expectations.,positive
"Bad hotel, slow, buggy, and poorly built.",negative
One of the worst books I've ever experienced.,negative
"Bad album, slow, buggy, and poorly built.",negative
One of the best products I've experienced in a long time.,positive
"Very unsatisfied with the show, everything felt cheap.",negative
"This course was a complete disappointment, I regret buying it.",negative
"I am frustrated with this phone, it ruined my day.",negative
The book was fantastic from start to finish.,positive
The book was fantastic from start to finish.,positive
"I'm so unhappy with this service, total waste of money.",negative
"Awful game, fell short of expectations in every way.",negative
"I really disliked this headphones, it was boring and poorly made.",negative
One of the best movies I've experienced in a long time.,positive
"Impressive show, the attention to detail is remarkable.",positive
"This show is amazing, I've never been happier.",positive
"Very unsatisfied with the app, everything felt cheap.",negative
Annoying hotel! Constant issues and unreliable performance.,negative
"Poor value for money, this game is not worth it.",negative
"Excellent app! Smooth, reliable, and beautifully designed.",positive
"Awful laptop, fell short of expectations in every way.",negative
"I'm so happy with this album, it's worth every penny.",positive
